State,City,Accident_Date,Time,Weather,Road_Type,Severity,Vehicles_Involved,Casualties,Latitude,Longitude,Hour,Time_Period
Andhra Pradesh,Tirupati,05-02-2023,01-01-1900 14:00,clear,nan,1,3,1,17.1,83.8848,14,Afternoon
Tamil Nadu,Coimbatore,08-07-2023,01-01-1900 18:00,heavy rain,highway,2,2,1,15.7274,77.2684,18,Evening
Andhra Pradesh,Visakhapatnam,01-01-2023,01-01-1900 21:00,clear,highway,2,2,2,27.0251,85.7866,21,Night
Maharashtra,Mumbai,23-01-2023,01-01-1900 07:00,rain,rural road,1,1,2,19.678,83.9026,7,Morning
Andhra Pradesh,Tirupati,06-12-2023,01-01-1900 04:00,clear,national highway,3,1,2,18.7417,85.1134,4,Night
Tamil Nadu,Chennai,28-04-2024,01-01-1900 06:00,rain,city road,1,1,0,17.674,80.1596,6,Morning
Tamil Nadu,Coimbatore,07-06-2023,01-01-1900 14:00,rain,highway,2,0,0,12.6735,77.1966,14,Afternoon
Delhi,New Delhi,16-02-2023,01-01-1900 22:00,rain,rural road,1,1,1,18.1492,84.4761,22,Night
Bihar,Bhagalpur,19-01-2024,01-01-1900 17:00,rain,rural road,1,3,0,27.1157,82.1414,17,Evening
Karnataka,Bengaluru,26-02-2024,01-01-1900 12:00,rain,expressway,3,0,1,27.8587,79.5484,12,Afternoon
Karnataka,Bengaluru,08-04-2024,01-01-1900 10:00,clear,rural road,1,2,0,21.7238,82.6396,10,Morning
UP,Lucknow,01-07-2023,01-01-1900 06:00,clear,nan,4,1,0,15.5278,79.0508,6,Morning
UP,Varanasi,03-09-2023,01-01-1900 01:00,clear,rural road,2,1,2,12.9255,87.6601,1,Night
Andhra Pradesh,Tirupati,05-02-2024,01-01-1900 22:00,storm,expressway,4,3,0,23.1363,78.6929,22,Night
Tamil Nadu,Chennai,03-04-2024,01-01-1900 08:00,storm,expressway,3,1,1,15.5811,82.9067,8,Morning
Maharashtra,Nagpur,22-02-2024,01-01-1900 23:00,heavy rain,expressway,4,3,2,13.4638,86.6521,23,Night
Delhi,Rohini,15-01-2023,01-01-1900 22:00,foggy,expressway,2,1,0,26.22,87.5122,22,Night
Andhra Pradesh,Vijayawada,29-01-2023,01-01-1900 07:00,nan,expressway,4,2,1,22.4839,83.0594,7,Morning
Delhi,New Delhi,12-01-2023,01-01-1900 04:00,rain,expressway,3,1,0,17.963,79.8573,4,Night
Maharashtra,Pune,11-03-2023,01-01-1900 05:00,storm,highway,3,1,2,13.2967,79.422,5,Morning
Tamil Nadu,Madurai,29-10-2023,01-01-1900 05:00,clear,highway,3,1,1,25.6193,82.4466,5,Morning
Andhra Pradesh,Guntur,05-11-2023,01-01-1900 10:00,rain,rural road,2,5,0,25.1949,80.8259,10,Morning
Telangana,Nizamabad,10-12-2023,01-01-1900 20:00,storm,highway,3,2,2,16.2725,86.6649,20,Evening
Andhra Pradesh,Tirupati,13-08-2023,01-01-1900 23:00,foggy,rural road,4,2,2,25.6093,86.5402,23,Night
Tamil Nadu,Chennai,20-08-2023,01-01-1900 02:00,clear,highway,3,2,1,23.1595,84.4815,2,Night
Telangana,Nizamabad,27-04-2024,01-01-1900 02:00,storm,highway,1,3,1,14.5377,86.6896,2,Night
Delhi,New Delhi,13-05-2024,01-01-1900 06:00,clear,highway,3,1,1,17.3619,85.1786,6,Morning
Andhra Pradesh,Visakhapatnam,02-01-2023,01-01-1900 13:00,clear,nan,4,2,0,25.3141,82.5821,13,Afternoon
Telangana,Warangal,06-02-2024,01-01-1900 12:00,storm,highway,3,2,1,22.109,79.8578,12,Afternoon
Bihar,Patna,15-05-2023,01-01-1900 14:00,clear,city road,3,2,3,24.4775,78.1768,14,Afternoon
UP,Varanasi,27-04-2023,01-01-1900 17:00,foggy,expressway,4,2,2,27.4079,80.7606,17,Evening
Maharashtra,Mumbai,22-07-2023,01-01-1900 22:00,foggy,highway,4,2,1,13.6402,87.3095,22,Night
UP,Lucknow,16-12-2023,01-01-1900 13:00,foggy,expressway,3,1,1,16.8154,84.7899,13,Afternoon
Delhi,Dwarka,24-09-2023,01-01-1900 14:00,foggy,highway,4,2,0,17.5341,83.8301,14,Afternoon
Telangana,Nizamabad,04-02-2024,01-01-1900 03:00,rain,rural road,3,1,1,24.1322,77.2705,3,Night
Karnataka,Mangalore,08-11-2023,01-01-1900 21:00,clear,nan,3,3,0,22.9327,81.9049,21,Night
Delhi,Dwarka,09-06-2023,01-01-1900 08:00,rain,city road,2,0,1,14.618,85.7429,8,Morning
Telangana,Hyderabad,15-08-2023,01-01-1900 06:00,storm,expressway,3,0,1,13.3181,84.4855,6,Morning
Karnataka,Mangalore,26-03-2024,01-01-1900 18:00,foggy,city road,2,0,1,27.2138,78.6616,18,Evening
Maharashtra,Pune,26-02-2024,01-01-1900 14:00,rain,highway,1,2,0,18.7156,84.0238,14,Afternoon
Delhi,Dwarka,25-03-2023,01-01-1900 08:00,nan,highway,4,0,0,27.7436,81.5027,8,Morning
Tamil Nadu,Madurai,16-04-2023,01-01-1900 08:00,clear,highway,1,1,1,15.4097,77.3425,8,Morning
Maharashtra,Nagpur,10-05-2024,01-01-1900 22:00,foggy,rural road,3,0,2,25.8297,82.2053,22,Night
Telangana,Hyderabad,19-09-2023,01-01-1900 21:00,clear,national highway,1,2,1,24.3347,86.2926,21,Night
Maharashtra,Mumbai,18-03-2023,01-01-1900 16:00,clear,expressway,4,2,2,14.0999,77.3578,16,Afternoon
Maharashtra,Pune,27-07-2023,01-01-1900 12:00,heavy rain,national highway,2,2,1,24.7446,82.2967,12,Afternoon
Maharashtra,Mumbai,06-03-2024,01-01-1900 21:00,clear,highway,4,1,2,15.2084,82.4075,21,Night
Delhi,Rohini,15-02-2023,01-01-1900 07:00,heavy rain,highway,3,2,0,16.3039,85.7732,7,Morning
Telangana,Warangal,28-01-2023,01-01-1900 20:00,storm,city road,1,1,0,12.1859,77.7969,20,Evening
Karnataka,Bengaluru,25-06-2023,01-01-1900 13:00,foggy,national highway,2,1,1,21.6003,80.2083,13,Afternoon
Andhra Pradesh,Tirupati,21-05-2023,01-01-1900 06:00,foggy,rural road,1,2,1,24.4776,77.4358,6,Morning
Andhra Pradesh,Vijayawada,01-10-2023,01-01-1900 06:00,nan,nan,2,0,0,15.8727,87.8533,6,Morning
Maharashtra,Mumbai,22-02-2023,01-01-1900 12:00,foggy,highway,1,1,0,21.8905,84.7271,12,Afternoon
Karnataka,Mysuru,06-04-2024,01-01-1900 15:00,nan,city road,4,1,0,17.2234,82.6948,15,Afternoon
Karnataka,Bengaluru,07-07-2023,01-01-1900 22:00,foggy,highway,3,1,0,12.5312,77.8644,22,Night
Andhra Pradesh,Vijayawada,20-12-2023,01-01-1900 03:00,storm,rural road,1,0,0,21.0807,84.5841,3,Night
Maharashtra,Pune,05-12-2023,01-01-1900 03:00,foggy,rural road,1,1,1,14.6797,78.1502,3,Night
Tamil Nadu,Coimbatore,01-03-2024,01-01-1900 16:00,rain,nan,4,3,1,12.5054,87.2983,16,Afternoon
Delhi,New Delhi,02-01-2023,01-01-1900 00:00,rain,expressway,4,2,0,23.345,86.5807,0,Night
Maharashtra,Nagpur,29-04-2023,01-01-1900 14:00,clear,rural road,1,3,1,17.4312,85.9631,14,Afternoon
Delhi,Dwarka,14-01-2024,01-01-1900 03:00,clear,highway,2,3,1,19.2371,84.0794,3,Night
Telangana,Warangal,22-02-2024,01-01-1900 10:00,rain,rural road,4,4,1,13.3061,77.6639,10,Morning
Karnataka,Bengaluru,09-03-2023,01-01-1900 22:00,foggy,highway,4,1,0,25.9485,79.4114,22,Night
Delhi,Rohini,15-01-2023,01-01-1900 21:00,storm,rural road,1,2,0,22.5393,82.4802,21,Night
Tamil Nadu,Madurai,23-03-2024,01-01-1900 10:00,foggy,highway,2,4,1,15.6553,87.9597,10,Morning
Andhra Pradesh,Vijayawada,26-11-2023,01-01-1900 05:00,storm,city road,1,2,1,15.1927,84.4825,5,Morning
UP,Kanpur,23-02-2024,01-01-1900 07:00,storm,rural road,4,1,0,25.8924,84.9989,7,Morning
Andhra Pradesh,Vijayawada,26-07-2023,01-01-1900 13:00,clear,highway,3,1,2,17.535,81.0814,13,Afternoon
Andhra Pradesh,Guntur,08-03-2024,01-01-1900 14:00,storm,highway,3,2,2,19.0178,84.9778,14,Afternoon
Maharashtra,Nagpur,25-09-2023,01-01-1900 11:00,clear,city road,4,3,0,26.4112,81.6389,11,Morning
Tamil Nadu,Chennai,21-04-2024,01-01-1900 12:00,storm,city road,3,2,0,26.5978,79.3173,12,Afternoon
Bihar,Gaya,04-12-2023,01-01-1900 18:00,storm,highway,1,3,2,23.7298,78.4472,18,Evening
Karnataka,Mangalore,24-10-2023,01-01-1900 05:00,rain,rural road,3,2,1,14.8749,79.613,5,Morning
Maharashtra,Pune,08-05-2024,01-01-1900 10:00,storm,city road,2,1,2,15.9557,86.5782,10,Morning
Delhi,Rohini,13-01-2024,01-01-1900 17:00,heavy rain,city road,3,2,1,17.7477,83.5225,17,Evening
Karnataka,Mangalore,05-10-2023,01-01-1900 22:00,rain,national highway,4,1,0,27.5106,79.8395,22,Night
Maharashtra,Pune,18-02-2024,01-01-1900 00:00,nan,nan,2,0,2,24.3756,78.4396,0,Night
Maharashtra,Mumbai,05-03-2024,01-01-1900 01:00,heavy rain,expressway,1,1,1,15.7768,77.8085,1,Night
Tamil Nadu,Madurai,28-11-2023,01-01-1900 17:00,heavy rain,nan,3,2,0,17.3921,86.1177,17,Evening
Delhi,Rohini,28-01-2023,01-01-1900 00:00,heavy rain,expressway,4,0,0,21.8743,84.7745,0,Night
Tamil Nadu,Madurai,08-05-2024,01-01-1900 06:00,storm,city road,1,1,0,12.5867,85.1004,6,Morning
Maharashtra,Mumbai,24-03-2023,01-01-1900 18:00,clear,national highway,4,1,3,25.5067,85.8624,18,Evening
Maharashtra,Pune,09-02-2024,01-01-1900 18:00,rain,highway,3,3,1,15.2935,78.2311,18,Evening
UP,Lucknow,28-06-2023,01-01-1900 07:00,rain,national highway,3,1,0,20.4987,87.3027,7,Morning
Andhra Pradesh,Vijayawada,09-12-2023,01-01-1900 11:00,heavy rain,highway,2,2,0,17.0585,82.5796,11,Morning
UP,Kanpur,04-10-2023,01-01-1900 23:00,clear,expressway,3,3,1,19.2758,82.6716,23,Night
Delhi,Rohini,12-02-2023,01-01-1900 03:00,clear,highway,1,4,0,14.2344,77.3297,3,Night
Tamil Nadu,Madurai,29-02-2024,01-01-1900 22:00,nan,highway,2,3,0,15.2297,84.4078,22,Night
Maharashtra,Nagpur,06-02-2023,01-01-1900 18:00,clear,rural road,4,1,2,25.8903,78.9486,18,Evening
Andhra Pradesh,Vijayawada,23-01-2024,01-01-1900 23:00,rain,national highway,1,3,1,27.1138,84.5157,23,Night
UP,Kanpur,25-02-2024,01-01-1900 21:00,storm,city road,2,4,0,25.9025,83.2767,21,Night
Karnataka,Mysuru,13-12-2023,01-01-1900 23:00,clear,nan,2,3,2,15.4508,84.2477,23,Night
Maharashtra,Mumbai,19-01-2024,01-01-1900 23:00,heavy rain,rural road,2,3,0,13.7055,84.2363,23,Night
Andhra Pradesh,Tirupati,27-11-2023,01-01-1900 17:00,clear,highway,1,1,1,25.9321,85.6062,17,Evening
Tamil Nadu,Chennai,26-05-2023,01-01-1900 19:00,heavy rain,national highway,4,3,1,26.0562,81.4455,19,Evening
Delhi,Dwarka,05-05-2024,01-01-1900 13:00,clear,national highway,2,3,0,24.9255,85.3851,13,Afternoon
Delhi,Dwarka,25-08-2023,01-01-1900 14:00,clear,rural road,1,1,2,25.0853,78.3223,14,Afternoon
Tamil Nadu,Coimbatore,11-01-2024,01-01-1900 20:00,rain,highway,1,1,0,17.1934,81.0311,20,Evening
Maharashtra,Nagpur,02-04-2024,01-01-1900 17:00,foggy,national highway,4,3,0,18.2169,81.9356,17,Evening
Telangana,Warangal,06-07-2023,01-01-1900 16:00,heavy rain,expressway,2,1,0,15.6363,77.8052,16,Afternoon
Karnataka,Mangalore,10-01-2024,01-01-1900 15:00,clear,city road,4,3,2,21.9118,82.0984,15,Afternoon
Delhi,Dwarka,29-08-2023,01-01-1900 14:00,clear,highway,3,3,0,20.3053,82.271,14,Afternoon
Karnataka,Mysuru,01-12-2023,01-01-1900 12:00,rain,expressway,3,0,0,21.2828,82.8696,12,Afternoon
Bihar,Gaya,30-03-2024,01-01-1900 19:00,foggy,rural road,2,3,1,25.0078,84.8994,19,Evening
Telangana,Nizamabad,28-04-2023,01-01-1900 13:00,rain,rural road,4,2,1,15.8957,87.1974,13,Afternoon
Karnataka,Mangalore,31-10-2023,01-01-1900 05:00,nan,expressway,2,1,0,19.7739,79.8245,5,Morning
Andhra Pradesh,Visakhapatnam,29-04-2024,01-01-1900 02:00,storm,expressway,4,0,0,24.8484,82.9308,2,Night
Karnataka,Mangalore,04-12-2023,01-01-1900 16:00,foggy,highway,3,3,0,23.4584,79.9989,16,Afternoon
Andhra Pradesh,Guntur,25-09-2023,01-01-1900 16:00,foggy,expressway,1,0,0,14.8984,84.4923,16,Afternoon
Telangana,Hyderabad,04-09-2023,01-01-1900 21:00,clear,highway,4,2,0,23.3447,78.1756,21,Night
Bihar,Gaya,29-06-2023,01-01-1900 18:00,foggy,city road,3,0,1,27.4068,82.319,18,Evening
UP,Kanpur,07-04-2023,01-01-1900 00:00,rain,expressway,1,2,2,12.6946,83.9647,0,Night
UP,Varanasi,27-10-2023,01-01-1900 08:00,foggy,expressway,3,2,1,25.107,86.7263,8,Morning
Bihar,Patna,09-07-2023,01-01-1900 17:00,clear,national highway,3,1,0,21.7757,81.5213,17,Evening
Tamil Nadu,Coimbatore,05-02-2024,01-01-1900 22:00,rain,city road,4,0,0,24.4884,80.0229,22,Night
UP,Varanasi,03-01-2023,01-01-1900 02:00,storm,expressway,4,1,2,22.6808,78.0509,2,Night
UP,Varanasi,02-12-2023,01-01-1900 16:00,clear,city road,4,0,3,21.3857,78.8482,16,Afternoon
Andhra Pradesh,Guntur,11-11-2023,01-01-1900 05:00,rain,city road,1,2,1,15.4678,78.0529,5,Morning
UP,Varanasi,13-04-2023,01-01-1900 16:00,rain,highway,3,2,0,21.7135,83.0137,16,Afternoon
Tamil Nadu,Madurai,08-05-2024,01-01-1900 06:00,foggy,expressway,1,1,0,21.5116,82.4644,6,Morning
Telangana,Nizamabad,04-05-2024,01-01-1900 08:00,storm,rural road,4,1,2,18.8512,84.8936,8,Morning
Andhra Pradesh,Tirupati,01-03-2023,01-01-1900 08:00,foggy,highway,2,2,2,16.3866,77.8736,8,Morning
Andhra Pradesh,Visakhapatnam,08-05-2023,01-01-1900 09:00,nan,highway,3,1,0,15.6265,80.905,9,Morning
Maharashtra,Mumbai,29-04-2024,01-01-1900 23:00,storm,highway,2,2,0,13.0818,85.8039,23,Night
Delhi,New Delhi,03-02-2024,01-01-1900 03:00,rain,highway,4,2,0,26.0813,84.1597,3,Night
Delhi,Dwarka,04-04-2024,01-01-1900 18:00,storm,city road,3,0,1,17.328,84.3644,18,Evening
Andhra Pradesh,Visakhapatnam,21-07-2023,01-01-1900 21:00,storm,nan,4,4,1,19.4433,77.6616,21,Night
Delhi,Rohini,17-03-2024,01-01-1900 08:00,clear,city road,3,2,1,14.8048,84.5901,8,Morning
Delhi,Dwarka,13-03-2024,01-01-1900 12:00,storm,city road,2,2,0,13.5468,81.9541,12,Afternoon
UP,Kanpur,11-04-2023,01-01-1900 04:00,storm,highway,2,1,2,22.6386,85.7499,4,Night
Delhi,Dwarka,03-06-2023,01-01-1900 08:00,nan,highway,2,0,0,27.8797,87.197,8,Morning
Delhi,Dwarka,04-07-2023,01-01-1900 11:00,rain,highway,4,3,1,20.3353,83.8594,11,Morning
Karnataka,Mysuru,01-07-2023,01-01-1900 10:00,storm,highway,4,2,0,14.0434,86.0867,10,Morning
Delhi,Dwarka,20-11-2023,01-01-1900 19:00,rain,highway,2,2,1,12.5786,80.3344,19,Evening
UP,Kanpur,30-03-2024,01-01-1900 14:00,storm,nan,2,1,0,13.4023,87.3065,14,Afternoon
Telangana,Hyderabad,27-03-2023,01-01-1900 12:00,rain,nan,4,0,1,18.3517,81.9192,12,Afternoon
Maharashtra,Nagpur,21-03-2023,01-01-1900 02:00,clear,city road,2,2,3,26.7103,82.4666,2,Night
Andhra Pradesh,Visakhapatnam,16-03-2024,01-01-1900 10:00,storm,expressway,3,2,0,18.09,86.6577,10,Morning
Bihar,Bhagalpur,19-01-2024,01-01-1900 20:00,clear,national highway,4,2,1,24.6405,80.3515,20,Evening
Maharashtra,Mumbai,01-01-2023,01-01-1900 16:00,rain,national highway,4,1,0,14.7764,84.6445,16,Afternoon
UP,Kanpur,02-11-2023,01-01-1900 07:00,rain,city road,4,2,0,22.2556,86.0473,7,Morning
UP,Lucknow,15-05-2023,01-01-1900 02:00,heavy rain,expressway,3,1,1,21.7,85.4129,2,Night
Karnataka,Bengaluru,29-05-2023,01-01-1900 03:00,storm,nan,4,2,0,18.3786,78.6101,3,Night
Telangana,Warangal,18-05-2023,01-01-1900 04:00,clear,city road,1,1,0,12.413,78.4868,4,Night
Delhi,Dwarka,23-12-2023,01-01-1900 01:00,rain,city road,1,2,1,27.4532,81.7575,1,Night
Maharashtra,Pune,29-02-2024,01-01-1900 00:00,heavy rain,rural road,4,2,0,19.0322,78.1623,0,Night
Tamil Nadu,Coimbatore,19-07-2023,01-01-1900 21:00,rain,city road,1,0,1,21.9134,84.1522,21,Night
Delhi,New Delhi,18-03-2024,01-01-1900 21:00,rain,city road,4,1,2,12.9306,87.9435,21,Night
Andhra Pradesh,Vijayawada,25-10-2023,01-01-1900 22:00,foggy,national highway,1,2,0,27.7389,79.631,22,Night
Andhra Pradesh,Vijayawada,02-07-2023,01-01-1900 20:00,rain,city road,4,1,0,23.0746,77.6852,20,Evening
Bihar,Bhagalpur,09-04-2023,01-01-1900 00:00,rain,nan,2,2,1,25.0235,83.7674,0,Night
Bihar,Patna,18-10-2023,01-01-1900 05:00,rain,highway,4,3,0,20.4327,81.6869,5,Morning
Karnataka,Mysuru,01-06-2023,01-01-1900 08:00,storm,highway,4,0,0,17.8841,81.5554,8,Morning
Delhi,Rohini,02-02-2023,01-01-1900 21:00,heavy rain,expressway,4,2,1,24.3089,77.1213,21,Night
Telangana,Nizamabad,04-12-2023,01-01-1900 02:00,foggy,city road,1,1,1,12.3071,79.8579,2,Night
Bihar,Bhagalpur,16-11-2023,01-01-1900 22:00,clear,national highway,2,1,1,20.565,79.3672,22,Night
Telangana,Warangal,15-02-2024,01-01-1900 20:00,rain,expressway,4,1,1,13.7558,83.0276,20,Evening
Telangana,Warangal,09-02-2023,01-01-1900 06:00,rain,highway,2,3,0,13.5693,82.3707,6,Morning
Karnataka,Mangalore,19-01-2024,01-01-1900 17:00,rain,highway,3,1,0,23.7977,82.2362,17,Evening
UP,Varanasi,22-06-2023,01-01-1900 21:00,storm,national highway,3,0,0,19.3511,85.6352,21,Night
Delhi,Rohini,04-05-2023,01-01-1900 18:00,foggy,expressway,0,1,0,23.0102,81.8136,18,Evening
Maharashtra,Nagpur,09-01-2023,01-01-1900 16:00,clear,highway,3,2,0,12.6148,86.9194,16,Afternoon
Maharashtra,Nagpur,19-09-2023,01-01-1900 17:00,rain,highway,4,4,0,22.5497,86.8463,17,Evening
Maharashtra,Mumbai,20-10-2023,01-01-1900 12:00,rain,highway,3,3,2,13.0664,82.7025,12,Afternoon
Telangana,Nizamabad,25-11-2023,01-01-1900 09:00,foggy,highway,1,2,0,20.1956,84.4825,9,Morning
Telangana,Hyderabad,18-01-2024,01-01-1900 20:00,foggy,highway,3,1,1,13.1401,77.1332,20,Evening
Karnataka,Bengaluru,11-12-2023,01-01-1900 23:00,storm,expressway,1,0,0,17.5953,85.5212,23,Night
Andhra Pradesh,Tirupati,15-05-2023,01-01-1900 02:00,foggy,highway,2,0,1,14.7857,78.0824,2,Night
Tamil Nadu,Chennai,06-02-2023,01-01-1900 08:00,rain,highway,1,3,1,16.2407,77.2304,8,Morning
Andhra Pradesh,Visakhapatnam,28-03-2023,01-01-1900 11:00,foggy,rural road,1,3,0,21.9946,81.2013,11,Morning
Telangana,Hyderabad,14-01-2024,01-01-1900 01:00,foggy,national highway,1,1,0,21.8402,85.521,1,Night
Tamil Nadu,Chennai,07-10-2023,01-01-1900 16:00,storm,expressway,2,2,3,12.6712,87.6534,16,Afternoon
Maharashtra,Mumbai,31-01-2023,01-01-1900 09:00,clear,nan,4,1,1,27.6795,83.6207,9,Morning
Delhi,New Delhi,10-01-2023,01-01-1900 09:00,heavy rain,rural road,1,3,1,24.9883,84.2213,9,Morning
Bihar,Bhagalpur,19-04-2024,01-01-1900 22:00,clear,city road,3,1,0,26.8493,79.4708,22,Night
Maharashtra,Mumbai,15-05-2024,01-01-1900 16:00,clear,highway,0,0,0,19.0305,83.7423,16,Afternoon
Maharashtra,Mumbai,19-03-2023,01-01-1900 10:00,foggy,highway,4,1,0,26.1908,84.1039,10,Morning
Karnataka,Mysuru,11-05-2024,01-01-1900 09:00,storm,expressway,2,3,0,25.7819,86.3117,9,Morning
Maharashtra,Nagpur,28-12-2023,01-01-1900 16:00,foggy,city road,2,1,1,24.0807,82.0659,16,Afternoon
Karnataka,Mangalore,16-01-2023,01-01-1900 10:00,foggy,national highway,4,2,1,24.4232,84.2178,10,Morning
Tamil Nadu,Chennai,09-03-2023,01-01-1900 05:00,clear,expressway,2,2,0,27.7547,87.3113,5,Morning
Karnataka,Mangalore,09-03-2024,01-01-1900 19:00,rain,city road,4,2,0,25.0846,79.3486,19,Evening
Andhra Pradesh,Visakhapatnam,01-05-2024,01-01-1900 13:00,heavy rain,city road,1,3,1,23.7248,82.9646,13,Afternoon
Bihar,Patna,07-08-2023,01-01-1900 12:00,foggy,highway,3,2,3,16.7608,83.2152,12,Afternoon
Andhra Pradesh,Vijayawada,20-08-2023,01-01-1900 14:00,heavy rain,nan,4,2,1,22.1807,85.3723,14,Afternoon
Tamil Nadu,Coimbatore,14-08-2023,01-01-1900 12:00,clear,rural road,2,1,0,12.1493,79.7135,12,Afternoon
Bihar,Patna,05-01-2024,01-01-1900 16:00,foggy,expressway,2,1,0,24.8011,79.2444,16,Afternoon
Tamil Nadu,Coimbatore,16-02-2023,01-01-1900 08:00,foggy,highway,1,4,1,21.8558,79.0683,8,Morning
Karnataka,Mysuru,09-10-2023,01-01-1900 12:00,foggy,national highway,2,3,0,20.8676,77.0575,12,Afternoon
Bihar,Gaya,17-11-2023,01-01-1900 05:00,foggy,city road,1,1,1,27.3292,81.0473,5,Morning
Andhra Pradesh,Tirupati,02-05-2023,01-01-1900 06:00,nan,rural road,4,0,0,16.8897,86.6432,6,Morning
Tamil Nadu,Chennai,05-04-2023,01-01-1900 04:00,rain,highway,2,4,0,26.1791,83.5235,4,Night
Andhra Pradesh,Vijayawada,02-08-2023,01-01-1900 05:00,clear,expressway,2,0,0,23.1299,77.0354,5,Morning
Delhi,Dwarka,04-04-2024,01-01-1900 12:00,foggy,expressway,1,0,2,24.7072,78.0229,12,Afternoon
Tamil Nadu,Madurai,18-04-2023,01-01-1900 19:00,rain,expressway,1,1,3,22.2772,77.7134,19,Evening
Delhi,Dwarka,27-09-2023,01-01-1900 18:00,foggy,expressway,4,3,3,20.9706,83.6384,18,Evening
Maharashtra,Mumbai,01-01-2023,01-01-1900 03:00,storm,highway,1,3,0,16.3171,86.0755,3,Night
Delhi,Rohini,17-02-2024,01-01-1900 20:00,clear,highway,2,1,0,12.9368,80.6766,20,Evening
Andhra Pradesh,Vijayawada,18-12-2023,01-01-1900 10:00,foggy,highway,1,2,1,24.6178,82.69,10,Morning
Bihar,Patna,27-11-2023,01-01-1900 04:00,foggy,highway,4,0,0,17.2511,81.7742,4,Night
Andhra Pradesh,Visakhapatnam,17-10-2023,01-01-1900 23:00,clear,city road,3,1,0,21.5716,85.0923,23,Night
Andhra Pradesh,Visakhapatnam,12-07-2023,01-01-1900 20:00,foggy,city road,1,0,0,22.1788,85.6422,20,Evening
UP,Lucknow,12-09-2023,01-01-1900 07:00,storm,national highway,2,1,0,25.4368,81.2222,7,Morning
Telangana,Warangal,17-09-2023,01-01-1900 00:00,foggy,city road,3,4,2,14.9516,80.9846,0,Night
Telangana,Nizamabad,13-12-2023,01-01-1900 04:00,clear,rural road,4,2,0,16.7796,87.3475,4,Night
Telangana,Warangal,28-08-2023,01-01-1900 01:00,clear,highway,3,1,0,25.9637,86.2613,1,Night
Bihar,Bhagalpur,02-03-2023,01-01-1900 08:00,nan,national highway,1,2,0,19.331,82.3127,8,Morning
Delhi,Dwarka,14-03-2023,01-01-1900 22:00,heavy rain,city road,1,1,0,18.9896,85.0246,22,Night
Andhra Pradesh,Vijayawada,16-07-2023,01-01-1900 01:00,foggy,rural road,2,1,1,21.7636,78.4889,1,Night
Delhi,Dwarka,20-06-2023,01-01-1900 06:00,storm,expressway,2,2,2,27.3058,77.7585,6,Morning
Bihar,Gaya,29-04-2023,01-01-1900 07:00,clear,national highway,4,1,0,16.1873,79.7168,7,Morning
Bihar,Patna,03-02-2023,01-01-1900 15:00,rain,rural road,4,1,1,16.3512,85.3534,15,Afternoon
UP,Varanasi,12-02-2024,01-01-1900 03:00,rain,national highway,4,3,0,13.0459,82.3633,3,Night
UP,Lucknow,24-06-2023,01-01-1900 06:00,foggy,expressway,3,0,1,17.5575,86.8982,6,Morning
Bihar,Patna,31-10-2023,01-01-1900 19:00,rain,expressway,1,2,1,26.9892,77.5748,19,Evening
UP,Kanpur,11-09-2023,01-01-1900 20:00,rain,city road,0,0,0,23.6931,87.7943,20,Evening
Karnataka,Mysuru,30-09-2023,01-01-1900 09:00,storm,city road,2,2,0,15.1696,83.2186,9,Morning
UP,Varanasi,13-04-2024,01-01-1900 11:00,clear,expressway,4,2,0,21.7364,80.8446,11,Morning
Andhra Pradesh,Visakhapatnam,26-02-2023,01-01-1900 09:00,heavy rain,rural road,4,1,0,25.6099,83.1735,9,Morning
Karnataka,Mysuru,13-03-2023,01-01-1900 06:00,rain,rural road,0,0,1,25.7622,84.951,6,Morning
Karnataka,Mangalore,29-03-2024,01-01-1900 15:00,foggy,highway,2,2,0,20.6966,77.899,15,Afternoon
UP,Varanasi,03-04-2023,01-01-1900 14:00,storm,rural road,3,0,1,14.6524,87.4027,14,Afternoon
Maharashtra,Pune,19-04-2024,01-01-1900 17:00,clear,highway,4,2,1,19.3967,81.5294,17,Evening
Maharashtra,Pune,22-09-2023,01-01-1900 02:00,heavy rain,rural road,1,2,3,12.9964,82.6375,2,Night
Andhra Pradesh,Tirupati,21-08-2023,01-01-1900 16:00,rain,rural road,3,1,2,12.8313,85.6491,16,Afternoon
Maharashtra,Nagpur,06-02-2024,01-01-1900 18:00,clear,highway,4,1,0,14.6353,80.6324,18,Evening
Andhra Pradesh,Visakhapatnam,06-09-2023,01-01-1900 02:00,rain,national highway,0,2,2,15.2781,86.6561,2,Night
Karnataka,Mangalore,14-01-2024,01-01-1900 04:00,rain,city road,3,1,0,27.7598,85.4921,4,Night
Telangana,Hyderabad,01-11-2023,01-01-1900 04:00,foggy,rural road,2,3,0,20.6192,82.4759,4,Night
Andhra Pradesh,Visakhapatnam,22-01-2024,01-01-1900 03:00,foggy,rural road,4,2,0,25.1537,81.1846,3,Night
UP,Kanpur,15-05-2023,01-01-1900 04:00,clear,national highway,4,2,0,16.5942,85.7214,4,Night
Delhi,Dwarka,09-11-2023,01-01-1900 20:00,rain,national highway,3,4,2,24.7666,81.3557,20,Evening
Tamil Nadu,Madurai,11-12-2023,01-01-1900 18:00,rain,nan,2,2,1,14.5273,84.6549,18,Evening
Telangana,Nizamabad,17-08-2023,01-01-1900 11:00,nan,national highway,2,1,2,25.7149,86.9676,11,Morning
